Workflow_name,Annotation,Workflow_file
Quality Control [Galaxy Training: 16S Microbial Analysis With Mothur] (imported from uploaded file),16S Microbial Analysis with mothur (short),
TnSeq Data Workflow -SKC,Use the demultiplexed data and return data ready for python,https://drive.google.com/file/d/11na_nM5Di2axlr41TuD8MeBU8ayNEJOj/view?usp=sharing
Q1 phylogenetic context analysis,"A workflow for quick comparison of viral or bacterial genomes against existing data (e.g., where my coronaviral genomes fit within all available data?)",https://drive.google.com/file/d/1onpiQI3sLhU9YVTi70boQUS5llS6kOr9/view?usp=sharing
Quality Evaluation,Create Meryl Database used for the estimation of assembly parameters and quality control with Merqury. Part of the VGP pipeline.,https://drive.google.com/file/d/1ogM7dYoZ7Q2VoJWpoW-TBMabxQyMU6ZU/view?usp=sharing
Clinical Genetic Workflow,Allows to convert raw sequence data to the VCF ready for interpretation,https://drive.google.com/file/d/1wD3Mj-TIxJu8EpDDr3-Gp62rvgEq2ujd/view?usp=sharing
Benchmarking RNA-seq Cloud Costs-Paired,"Paired RNA datasets directed through tools such as BWA-MEM, bowtie2, RNA Star, Salmon, etc. for benchmarking purposes.",https://drive.google.com/file/d/139yXhnfD8Arg7FN0SgDOqJsrz6iH2Hsu/view?usp=sharing
Generic consensus construction from VCF calls,Build a consensus sequence from FILTER PASS variants with intrasample allele-frequency above a configurable consensus threshold. Hard-mask regions with low coverage (but not consensus variants within them) and ambiguous sites.,https://drive.google.com/file/d/1v2k8GiKoLQXiw2ZOqOXVvE6WhgKIhHze/view?usp=sharing
NGS analyses: biocontainment 230-320bp,"Joining pair-end reads, quality filtering, FASTQ to FASTA, ID match to split forward and reverse reads, reverse complement reverse reads, concatenate forward and reverse, filter by length, compute unique.seqs",https://drive.google.com/file/d/1FaMkzKpd_dKBNgQMalqgEHCPicSCQoNt/view?usp=sharing
SARS-CoV-2 Illumina Amplicon pipeline - iVar bas (release v0.2),Find and annotate variants in ampliconic SARS-CoV-2 Illumina sequencing data and classify samples with pangolin and nextclade,https://drive.google.com/file/d/1FaMkzKpd_dKBNgQMalqgEHCPicSCQoNt/view?usp=sharing
Genetic variation analysis reporting,"This workflow takes a VCF dataset of variants produced by any of the variant calling workflows in https://github.com/galaxyproject/iwc/tree/main/workflows/sars-cov-2-variant-calling and generates tabular lists of variants by Samples and by Variant, and an overview plot of variants and their allele-frequencies",https://drive.google.com/file/d/1Q5WTLlduMpEdrcwYI8K3715lJW0njoZf/view?usp=sharing
